chunk,feature,importance_gain,importance_split,auc_train,auc_valid
1,f001_EXT_SOURCES_mean,138952.37542,732,0.83505,0.75898
1,f002_ORGANIZATION_TYPE,37676.36576,2425,0.83505,0.75898
1,f001_EXT_SOURCES_sum,29575.49561,450,0.83505,0.75898
1,f001_EXT_SOURCE_3,20280.76159,717,0.83505,0.75898
1,f001_EXT_SOURCE_2,14265.88832,452,0.83505,0.75898
1,f001_AMT_CREDIT-d-AMT_ANNUITY,9502.49524,500,0.83505,0.75898
1,f001_AMT_ANNUITY-d-AMT_CREDIT,9062.34962,479,0.83505,0.75898
1,f101_active_AMT_CREDIT_d_total_debt_mean,8553.5829,398,0.83505,0.75898
1,f002_OCCUPATION_TYPE,8135.47612,616,0.83505,0.75898
1,f001_AMT_GOODS_PRICE-d-AMT_CREDIT,7767.64595,362,0.83505,0.75898
1,f001_EXT_SOURCES_prod,7671.17327,219,0.83505,0.75898
1,f001_AMT_GOODS_PRICE-d-AMT_ANNUITY,7074.94119,377,0.83505,0.75898
1,f101_active_AMT_CREDIT_d_total_debt_min,5995.96351,275,0.83505,0.75898
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT,5768.40307,339,0.83505,0.75898
1,f001_CODE_GENDER,5172.18488,223,0.83505,0.75898
1,f001_AMT_GOODS_PRICE,4997.18277,293,0.83505,0.75898
1,f001_DAYS_EMPLOYED,4694.65866,269,0.83505,0.75898
1,f003_NAME_EDUCATION_TYPE_ta,4608.81781,228,0.83505,0.75898
1,f003_OCCUPATION_TYPE_ta,4450.28943,282,0.83505,0.75898
1,f101_active_AMT_CREDIT_d_total_debt_max,4007.96886,249,0.83505,0.75898
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH,3969.09322,248,0.83505,0.75898
1,f001_AMT_ANNUITY,3937.10405,260,0.83505,0.75898
1,f001_DAYS_ID_PUBLISH-s-DAYS_BIRTH,3805.49757,281,0.83505,0.75898
1,f001_EXT_SOURCES_2-3,3596.34566,333,0.83505,0.75898
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT-d-AMT_INCOME_TOTAL,3493.53698,241,0.83505,0.75898
1,f001_EXT_SOURCE_1,3456.56208,252,0.83505,0.75898
1,f001_AMT_ANNUITY-d-AMT_INCOME_TOTAL,3301.45598,292,0.83505,0.75898
1,f001_OWN_CAR_AGE-s-DAYS_EMPLOYED,3281.69621,177,0.83505,0.75898
1,f001_DAYS_ID_PUBLISH,3223.33434,252,0.83505,0.75898
1,f001_maxwell_feature,3202.35324,163,0.83505,0.75898
1,f001_age_finish_payment,3150.45079,180,0.83505,0.75898
1,f001_DAYS_EMPLOYED-d-DAYS_BIRTH,2960.27146,217,0.83505,0.75898
1,f001_DAYS_LAST_PHONE_CHANGE,2914.73006,217,0.83505,0.75898
1,f001_alldocs_kurt,2895.42293,126,0.83505,0.75898
1,f001_AMT_ANNUITY-d-cnt_adults,2843.66567,235,0.83505,0.75898
1,f101_active_AMT_CREDIT_d_AMT_APPLICATION_mean,2672.6885,177,0.83505,0.75898
1,f101_active_AMT_CREDIT_d_AMT_APPLICATION_max,2608.98887,163,0.83505,0.75898
1,f001_OWN_CAR_AGE-d-DAYS_BIRTH,2507.28641,168,0.83505,0.75898
1,f001_DEF_60_CNT_SOCIAL_CIRCLE-d-OBS_60_CNT_SOCIAL_CIRCLE,2376.12825,158,0.83505,0.75898
1,f001_OWN_CAR_AGE-d-DAYS_EMPLOYED,2339.27794,147,0.83505,0.75898
1,f001_REGION_POPULATION_RELATIVE,2294.68498,224,0.83505,0.75898
1,f001_AMT_CREDIT,2289.05187,145,0.83505,0.75898
1,f003_ORGANIZATION_TYPE_ta,2259.10458,133,0.83505,0.75898
1,f001_DAYS_BIRTH,2242.93768,152,0.83505,0.75898
1,f003_NAME_FAMILY_STATUS_ta,2215.13919,179,0.83505,0.75898
1,f001_EXT_SOURCES_std,2100.79651,222,0.83505,0.75898
1,f001_age,2061.94055,145,0.83505,0.75898
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED,2029.56889,100,0.83505,0.75898
1,f001_DAYS_ID_PUBLISH-d-DAYS_BIRTH,1893.56397,180,0.83505,0.75898
1,f001_EXT_SOURCES_1-2,1811.02313,147,0.83505,0.75898
1,f001_DEF_30_CNT_SOCIAL_CIRCLE-d-OBS_30_CNT_SOCIAL_CIRCLE,1709.19535,126,0.83505,0.75898
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH,1683.55022,139,0.83505,0.75898
1,f001_AMT_ANNUITY-d-CNT_FAM_MEMBERS,1677.79664,161,0.83505,0.75898
1,f001_DAYS_LAST_PHONE_CHANGE-d-DAYS_BIRTH,1618.49239,151,0.83505,0.75898
1,f001_OWN_CAR_AGE,1484.74251,93,0.83505,0.75898
1,f001_DAYS_REGISTRATION-s-DAYS_BIRTH,1462.06954,147,0.83505,0.75898
1,f001_AMT_CREDIT-d-cnt_adults,1458.69433,128,0.83505,0.75898
1,f001_DAYS_REGISTRATION-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED,1454.84236,161,0.83505,0.75898
1,f001_FLAG_WORK_PHONE,1414.91957,100,0.83505,0.75898
1,f001_DAYS_REGISTRATION-s-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-s-DAYS_EMPLOYED,1309.02051,159,0.83505,0.75898
